Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,hit_year
spotify:track:4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande;Justin Bieber,5/8/2020,228482,81,False,nick170708!,2024-02-01T17:29:31Z,pop,"Ariana Grande & Justin Bieber Stuck With U""- Charity""",0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,3,2020
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Heather,Kid Krow,Conan Gray,3/20/2020,198040,85,False,nick170708!,2024-02-01T17:29:31Z,,Republic Records,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3,2020
spotify:track:4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Changes,Justin Bieber;Quavo,2/14/2020,212866,76,False,nick170708!,2024-02-01T17:29:31Z,,RBMG/Def Jam,0.806,0.546,9,-6.637,1,0.0579,0.298,0.0,0.102,0.875,147.988,4,2020
spotify:track:3VyjsVV24RmBIbWJAeUJNu,No Idea,No Idea,Don Toliver,5/29/2019,154424,0,False,nick170708!,2024-09-17T16:09:55Z,,Cactus Jack / Atlantic,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,4,2020
spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future;Drake,1/10/2020,237735,72,True,nick170708!,2024-02-01T17:29:31Z,rap,Epic/Freebandz,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,4,2020
spotify:track:3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,10/4/2019,175720,83,True,nick170708!,2024-02-01T17:29:31Z,rap,Cactus Jack/Epic,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,2020
spotify:track:0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke;Lil Baby;DaBaby,7/3/2020,190476,75,True,nick170708!,2024-02-01T17:29:31Z,"brooklyn drill,new york drill,drill",Victor Victor Worldwide,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4,2020
spotify:track:5hM5arv9KDbCHS0k9uqwjr,Borderline,The Slow Rush,Tame Impala,2/14/2020,237800,85,False,nick170708!,2025-10-25T14:55:38Z,"neo-psychedelic,indie",Universal Music Australia Pty. Ltd.,0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,4,2020
spotify:track:2Wo6QQD1KMDWeFkkjLqwx5,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN;Imanbek,9/13/2019,176218,8,True,nick170708!,2024-02-01T17:29:31Z,slap house,HITCO,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4,2020
spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,you broke me first,Tate McRae,4/17/2020,169265,5,True,nick170708!,2024-02-01T17:29:31Z,,RCA Records Label,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,2020
spotify:track:3GZoWLVbmxcBys6g0DLFLf,Supalonely (feat. Gus Dapperton),Hey u x,BENEE;Gus Dapperton,11/13/2020,223488,60,True,nick170708!,2024-02-01T17:29:31Z,bedroom pop,Republic Records,0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978,4,2020
