track_name,artist_names,release_date,duration_ms,popularity,explicit,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit_year,release_year,hit
exile (feat. Bon Iver),Taylor Swift;Bon Iver,2020-07-24,285634,80,False,2025-06-30T01:59:39Z,unknown,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4,2020,2020,1
Before You Go,Lewis Capaldi,2019-11-22,215106,84,False,2024-02-01T17:29:31Z,soft pop,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881,4,2020,2019,1
Laugh Now Cry Later (feat. Lil Durk),Drake;Lil Durk,2020-08-14,261492,76,True,2024-02-01T17:29:31Z,"rap,chicago drill,drill",0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4,2020,2020,1
Godzilla (feat. Juice WRLD),Eminem;Juice WRLD,2020-01-17,210800,81,True,2024-02-01T17:29:31Z,"rap,hip hop,melodic rap,emo rap",0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,4,2020,2020,1
Boss Bitch,Doja Cat,2020-01-23,134239,74,False,2024-02-01T17:29:31Z,unknown,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,4,2020,2020,1
Sky,Playboi Carti,2020-12-25,193234,79,True,2025-01-20T21:27:08Z,rage rap,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,4,2020,2020,1
After Hours,The Weeknd,2020-03-20,361026,82,False,2024-12-04T12:54:29Z,unknown,0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,4,2020,2020,1
If the World Was Ending (feat. Julia Michaels),JP Saxe;Julia Michaels,2019-10-17,208687,74,False,2024-02-01T17:29:31Z,unknown,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,4,2020,2019,1
La Difícil,Bad Bunny,2020-02-29,163084,72,True,2024-02-01T17:29:31Z,"reggaeton,trap latino,urbano latino,latin",0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,4,2020,2020,1
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow;Tory Lanez;DaBaby;Lil Wayne,2020-06-24,227478,65,True,2024-02-01T17:29:31Z,"rap,hip hop",0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,4,2020,2020,0
